layer,feature,current_path,backup_path,legacy_path,status,notes
workspace,package manager,package.json,.migration-backup/package.json,,KEEP_CURRENT,"Current root enforces pnpm; backup standalone package has npm assumptions and lockfile conflict."
runtime,package,artifacts/rentrix/package.json,.migration-backup/package.json,,KEEP_CURRENT,"Runtime package scripts passed baseline validation."
router,app shell,artifacts/rentrix/src/routes,.migration-backup/src/App.tsx,artifacts/rentrix/legacy-src/App.tsx,KEEP_CURRENT,"Current uses TanStack Router; historical uses React Router."
auth,provider,artifacts/rentrix/src/app/auth.tsx,.migration-backup/src/contexts/AppContext.tsx,artifacts/rentrix/legacy-src/contexts/AppContext.tsx,KEEP_CURRENT,"Do not restore AppContext/useApp."
supabase,client,artifacts/rentrix/src/integrations/supabase/client.ts,.migration-backup/src/services/api/supabaseClient.ts,artifacts/rentrix/legacy-src/services/api/supabaseClient.ts,KEEP_CURRENT,"Current client reports diagnostics instead of hard failing."
env,configuration,artifacts/rentrix/src/lib/env.ts,.migration-backup/src/config/env.ts,artifacts/rentrix/legacy-src/config/env.ts,KEEP_CURRENT,"Historical env helper throws on missing env."
ui,primitives,artifacts/rentrix/src/components/ui,.migration-backup/src/components/ui,artifacts/rentrix/legacy-src/components/ui,MERGE_SELECTIVELY,"Duplicate UI primitives; port only missing pieces per feature."
design-system,tokens,artifacts/rentrix/src/design-system,.migration-backup/src/design-system,artifacts/rentrix/legacy-src/design-system,REFERENCE_ONLY,"Historical design system is broad and not imported by runtime."
dashboard,dashboard,artifacts/rentrix/src/routes/_protected.index.tsx,.migration-backup/src/ui/Dashboard.tsx,artifacts/rentrix/legacy-src/ui/Dashboard.tsx,KEEP_CURRENT,"Current dashboard route is canonical demo surface."
properties,list,artifacts/rentrix/src/features/properties,.migration-backup/src/ui/Properties.tsx,artifacts/rentrix/legacy-src/ui/Properties.tsx,KEEP_CURRENT,"Current CRUD/service-backed property feature exists."
units,list,artifacts/rentrix/src/features/units,,artifacts/rentrix/legacy-src/ui/Properties.tsx,KEEP_CURRENT,"Current units feature exists and is tested."
owners,list,artifacts/rentrix/src/features/owners,.migration-backup/src/ui/Owners.tsx,artifacts/rentrix/legacy-src/ui/Owners.tsx,KEEP_CURRENT,"Current owners list is canonical."
owners,hub,,.migration-backup/src/ui/OwnersHub.tsx,artifacts/rentrix/legacy-src/ui/OwnersHub.tsx,ONLY_HISTORICAL,"Candidate for adapted port."
owners,portal,,.migration-backup/src/ui/OwnerView.tsx,artifacts/rentrix/legacy-src/ui/OwnerView.tsx,ONLY_HISTORICAL,"Requires TanStack route and edge function review."
