feature,current_routes,current_files,historical_routes,historical_files,supporting_dependencies,permission_assumptions,database_assumptions,rpc_assumptions,environment_assumptions,test_coverage,current_completeness,historical_completeness,current_placeholder,historical_status,porting_difficulty,demo_priority,recommendation
login,"/login","src/app/login-page.tsx; src/routes/_auth.login.tsx","/login","src/ui/Login.tsx","auth provider","anonymous/authenticated","auth tables/session","none","Supabase auth env","route covered by baseline typecheck","complete","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
dashboard,"/","src/routes/_protected.index.tsx","/","src/ui/Dashboard.tsx","current shell/services","authenticated","summary tables","none","Supabase optional diagnostics","baseline typecheck/build","demo-ready","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
properties,"/properties; /properties/new; /properties/$propertyId; /properties/$propertyId/edit","src/features/properties","/properties","src/ui/Properties.tsx","property service; units","authenticated","properties; ownership links; units","none","Supabase","feature tests present","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
property details,"/properties/$propertyId","src/features/properties/property-detail-page.tsx","implicit old details","src/ui/Properties.tsx","units; owners","authenticated","properties; units; ownership","none","Supabase","baseline typecheck","substantial","partial","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
units,"/units","src/features/units","embedded in properties","src/ui/Properties.tsx","unit service; property service","authenticated","units; properties","none","Supabase","unit tests in baseline","substantial","partial","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
lands,"none","none","/lands","src/ui/Lands.tsx","Card; Modal; NumberInput; dataService; journal entries","authenticated/admin for writes","lands; journalEntries; settings","none","Supabase/schema unknown","none current","missing","active","n/a","active but coupled","HIGH","POST_DEMO","PORT_AND_ADAPT"
owners,"/owners","src/features/owners","/owners","src/ui/Owners.tsx","owner hooks/services","authenticated","owners; property ownership","none","Supabase","owner tests present","substantial","active","no","stale architecture","LOW","REQUIRED","KEEP_CURRENT"
owner details,"people/edit and owners list only","src/features/owners; src/features/people","owner hub/detail","src/ui/OwnersHub.tsx; src/ui/OwnerView.tsx","owners; properties; units; contracts; invoices","authenticated/portal token","owners; properties; units; contracts; invoices; receipts; expenses","edge token for portal","Supabase/functions","partial current tests","partial","active","partly","active but coupled","MEDIUM","USEFUL","MERGE"
owners hub,"none","target src/features/owners/hub","/owners/:ownerId/hub","src/ui/OwnersHub.tsx","financeService; AppContext db","authenticated","owners; properties; units; contracts; invoices; receipts; expenses","none","Supabase","none","missing","active","n/a","active but coupled","MEDIUM","USEFUL","PORT_AND_ADAPT"
owner portal,"none","target src/features/owners/portal","/owner-view/:ownerId; /portal/:ownerId","src/ui/OwnerView.tsx; services/edgeFunctions.ts","edgeFunctions; token verification","public token or owner auth","owner portal payload","edge function assumptions","Supabase functions env","none","missing","active","n/a","active but coupled","HIGH","POST_DEMO","PORT_AND_ADAPT"
