sha	status	reason	subject
1aa90b3612d5c6e3dea4bba7a0c1032485f76d14	PASS	retest passed (transient/non-reproducible failure)	fix(rtl): normalize arabic layout with logical properties
ea8374e61b51688844d2e388861de61b2398c287	PASS	install + CI-equivalent passed	feat(rbac): expand role capabilities and user role options
93463afc5d029aea1fd68a48141f6a75a0600825	PASS	install + CI-equivalent passed	Improve maintenance workflow statuses and summaries
cd6cbe566dbc854f93c5498b8f186288708970b1	PASS	install + CI-equivalent passed	feat: enhance audit log filters and backup validation
0ef12f0bf91ee9d6f885a9fb6cddd9e8b34bb753	PASS	install + CI-equivalent passed	Improve contract workflow monitoring and termination flow
937f3e5cac2976097f32ebe01650e15406276a23	PASS	install + CI-equivalent passed	feat(owner-hub): add owner financial hub details and balances
b38bc43a2fb702617465fcf657c4b5b74e53ff77	PASS	install + CI-equivalent passed	feat: enhance lands and commissions workflow
0deeb9fa4956b76f2b86de9f97767b13a92b057e	PASS	install + CI-equivalent passed	feat(invoices): add automation controls and aging enhancements
f85006fdf45d180ed0277ad996e9f837334f4de2	PASS	install + CI-equivalent passed	Optimize reports date filtering and dashboard loading UX
d0a68e8ab7d4d5e7b80e8fa04a0d5aec52b4a79e	PASS	install + CI-equivalent passed	feat: improve tenant statements and whatsapp reminders
456cfcb83234874ac4cf8eeff87829ff6583d51f	PASS	install + CI-equivalent passed	feat(dashboard): add KPI clarity, quick actions, and actionable alerts
11aabf76218e66d88f5dc01c106dffdf302b561d	PASS	install + CI-equivalent passed	Merge pull request #138 from mohamedmasoud3030-tech/codex/optimize-bundle-size-for-production
1b3c6b0427efbef020ccae641b4f7759c98425b3	PASS	install + CI-equivalent passed	Merge pull request #139 from mohamedmasoud3030-tech/codex/fix-rtl-and-arabic-ui-consistency
b17fa4014abfcf7fb731cdcdb226016eb49694ef	PASS	install + CI-equivalent passed	Merge pull request #140 from mohamedmasoud3030-tech/codex/expand-rbac-permissions-system
2244047b7ec24a86b0327793bb33d33309f2ab61	PASS	install + CI-equivalent passed	Merge pull request #141 from mohamedmasoud3030-tech/codex/improve-maintenance-workflow-functionality
dbd1b1a93dae5686d4f559391b1ed506eb630692	PASS	install + CI-equivalent passed	Merge pull request #142 from mohamedmasoud3030-tech/codex/improve-audit-log-and-backup-functionality
9c763dc4287794b5843c28b0378662e0d2e8462a	PASS	install + CI-equivalent passed	Merge pull request #143 from mohamedmasoud3030-tech/codex/improve-contract-workflow-functions-and-ui
749782b1ed9c45bfd626f08165f54bc151842c62	PASS	install + CI-equivalent passed	Merge pull request #144 from mohamedmasoud3030-tech/codex/enhance-owner-hub-page-features
f335b998c478f125e2ac49c96dcb7dd4555ed1a8	PASS	install + CI-equivalent passed	Merge pull request #145 from mohamedmasoud3030-tech/codex/improve-lands-and-commissions-workflow
0410f78364021c908032d422f8baf0d8e64bbb09	PASS	install + CI-equivalent passed	Merge pull request #146 from mohamedmasoud3030-tech/codex/improve-invoice-automation-features
230ae092c247c7fd2447ff257f48a625e408d87b	PASS	install + CI-equivalent passed	Merge pull request #148 from mohamedmasoud3030-tech/codex/add-tenant-statement-and-communication-features
5024921ffdf655e12b6ff9c218509f0d819c5cd3	PASS	install + CI-equivalent passed	Merge pull request #149 from mohamedmasoud3030-tech/codex/improve-dashboard-kpi-display-and-functionality
dc27a1fa6631b6f8cbb988f6721b3f2ec8191701	PASS	install + CI-equivalent passed	Merge branch 'main' into codex/optimize-reports-performance-and-completeness
ac30f961a3b075538a7fc86cdb453747c33125f1	PASS	install + CI-equivalent passed	Merge pull request #147 from mohamedmasoud3030-tech/codex/optimize-reports-performance-and-completeness
2a74a45dad112831bdb6e9977b6ac145f6074e7e	PASS	install + CI-equivalent passed	Fix CI schema drift check Supabase setup/link flow
5a644fbbac160a08cfdc276023f586b62517f0a4	PASS	install + CI-equivalent passed	Merge pull request #150 from mohamedmasoud3030-tech/codex/fix-ci-schema-drift-check
2778d07dc5da8b3445ed9d3e0e699ae7f8435b85	PASS	install + CI-equivalent passed	fix(ci): use installed supabase cli for schema drift check
3e500bd0d05bc5709678d9670c8202441779b4ae	PASS	install + CI-equivalent passed	Merge pull request #151 from mohamedmasoud3030-tech/codex/fix-ci-schema-drift-check-prerequisites
335b021a6b983546e3fd78f9d7e67098553e40e9	PASS	install + CI-equivalent passed	docs: replace README with streamlined setup guide
24f401e1c8325eaf9062797b9f9f472b2898648a	PASS	install + CI-equivalent passed	Merge pull request #152 from mohamedmasoud3030-tech/codex/show-last-15-git-commits
513a16495fd3723edfe47ad0810a4ec87d855d5c	PASS	install + CI-equivalent passed	Guard Supabase CI steps when secrets are missing
9242313386fe9f46f24ebbd968cac5ec6b51d5b4	PASS	install + CI-equivalent passed	Guard Supabase CI steps when secrets are missing (#153)
41845285e412252b8b8521a9f69d34214447b33a	PASS	install + CI-equivalent passed	chore: trigger ci verification
c3a2e7ad34712944ed581197bb8040732b00afd6	PASS	install + CI-equivalent passed	chore: trigger CI verification (#154)
1f1d9988aef5139fbd0f073061997934d2a249f1	PASS	install + CI-equivalent passed	Fix CI Supabase guards to use env-based conditions
b0b5159945bcb4fb9d3acd5aed24b62da5b5612c	PASS	install + CI-equivalent passed	Follow-up: fix Supabase secret guards in CI step conditions (#155)
e33971e9c7c58b6fe3e52c28b078acb79acfa252	PASS	install + CI-equivalent passed	ci: provide db password to supabase link step
9215213a2322a61beb9bff0cc5250a582f962ddb	PASS	install + CI-equivalent passed	Follow-up: fix Supabase link auth in CI to avoid interactive prompt (#156)
