feature,historical_path,current_or_target_path,classification,dependencies,schema_assumptions,permission_assumptions,required_adaptations,effort,reason
router,.migration-backup/src/App.tsx,artifacts/rentrix/src/routes,DISCARD,"react-router-dom; AppContext","all app tables","mixed roles","Do not port; translate selected route behavior into TanStack files","HIGH","Current router is canonical and passed validation."
auth,.migration-backup/src/contexts/AppContext.tsx,artifacts/rentrix/src/app/auth.tsx,DISCARD,"global db; dataService; auth","all app tables","role/mustChange","Replace with narrow adapters only","HIGH","Restoring AppContext would violate current architecture."
auth,.migration-backup/src/ui/ChangePassword.tsx,artifacts/rentrix/src/features/account/change-password-page.tsx,REWRITE_ADAPTER,"useApp.auth","auth provider only","authenticated mustChange","Use current auth provider mutation and TanStack route","MEDIUM","Small useful flow but coupled to AppContext."
env,.migration-backup/src/config/env.ts,artifacts/rentrix/src/lib/env.ts,DISCARD,"import.meta.env","Supabase env","n/a","Keep current non-throwing diagnostics","LOW","Historical helper hard-throws on missing env."
supabase,.migration-backup/src/services/api/supabaseClient.ts,artifacts/rentrix/src/integrations/supabase/client.ts,KEEP_NEW,"Supabase client","public schema","n/a","None","LOW","Current typed client is canonical."
audit,.migration-backup/src/ui/AuditLog.tsx,artifacts/rentrix/src/features/audit/audit-log-page.tsx,REWRITE_ADAPTER,"useApp; Card; Modal; ConfirmActionModal; toast","auditLog; snapshots","admin","Read-only table service; remove restore/create snapshot controls initially","MEDIUM","Best read-only pilot but has backup side effects."
audit,.migration-backup/src/services/audit/AuditTrail.ts,artifacts/rentrix/src/features/audit/audit-log-service.ts,MERGE,"logger; audit types","audit log table","admin/system","Extract read-only list/format logic only","MEDIUM","Useful behavior if schema matches."
audit,.migration-backup/src/ui/DataIntegrityAudit.tsx,artifacts/rentrix/src/features/audit/data-integrity-page.tsx,REWRITE_ADAPTER,"useApp; auditEngine; migrateAttachments; react-router-dom","many tables; attachments","admin","Disable migration action; adapt links and data source","HIGH","Useful admin page but includes repair action."
audit,.migration-backup/src/services/auditEngine.ts,artifacts/rentrix/src/features/audit/data-integrity-service.ts,MERGE,"types; logger","many tables","admin","Convert in-memory db audit to typed inputs","HIGH","Logic useful but data access model incompatible."
owners,.migration-backup/src/ui/Owners.tsx,artifacts/rentrix/src/features/owners,KEEP_NEW,"useApp; legacy UI","owners/properties","authenticated","None","LOW","Current owners feature is substantial and tested."
owners,.migration-backup/src/ui/OwnersHub.tsx,artifacts/rentrix/src/features/owners/owners-hub-page.tsx,REWRITE_ADAPTER,"useParams; useApp; financeService","owners; properties; units; contracts; invoices; receipts; expenses","authenticated","TanStack params; current services; replace finance helpers","MEDIUM","Valuable view but fully AppContext-backed."
owners,.migration-backup/src/ui/OwnerView.tsx,artifacts/rentrix/src/features/owners/owner-portal-page.tsx,REWRITE_ADAPTER,"react-router-dom params/search; edgeFunctions","owner portal payload","public token/owner","TanStack params/search; verify edge function contract","HIGH","Portal useful but requires security review."
owners,.migration-backup/src/services/edgeFunctions.ts,artifacts/rentrix/src/features/owners/owner-portal-service.ts,MERGE,"Supabase/functions","portal RPC/function","public token","Use current Supabase client and typed response","HIGH","Reference token flow only."
lands,.migration-backup/src/ui/Lands.tsx,artifacts/rentrix/src/features/lands/lands-page.tsx,REWRITE_ADAPTER,"useApp; dataService; NumberInput; ActionsMenu","lands; journalEntries","authenticated/admin writes","Start read-only; split journal side effects","HIGH","Contains writes and accounting side effects."
leads,.migration-backup/src/ui/Leads.tsx,artifacts/rentrix/src/features/leads/leads-page.tsx,REWRITE_ADAPTER,"useApp; dataService; WhatsAppModal","leads","authenticated","Use current CRUD service; validate table","MEDIUM","Useful CRM page but dataService-based."
communication,.migration-backup/src/ui/CommunicationHub.tsx,artifacts/rentrix/src/features/communication/communication-page.tsx,REWRITE_ADAPTER,"useApp; generateNotifications; dataService","outgoingNotifications","authenticated/admin","Adapt notification generator and status enum","MEDIUM","Workflow useful but legacy stateful."
commissions,.migration-backup/src/ui/Commissions.tsx,artifacts/rentrix/src/features/commissions/commissions-page.tsx,REWRITE_ADAPTER,"useApp; financeService.payoutCommission","commissions; auth.users","finance/admin","Read-only first; defer payout mutation","HIGH","Financial writes must wait."
finance,.migration-backup/src/ui/Finance.tsx,artifacts/rentrix/src/features/financials/financials-page.tsx,KEEP_NEW,"react-router-dom nested routes; useApp","financial tables","finance","Do not port shell","LOW","Current finance route is canonical."
finance,.migration-backup/src/ui/Financials.tsx,artifacts/rentrix/src/features/financials,MERGE,"useApp; dataService; financeService","receipts; expenses; deposits; settlements","finance","Harvest UX/calculation ideas only","MEDIUM","Current financials exist but old has richer workflows."
finance,.migration-backup/src/ui/Invoices.tsx,artifacts/rentrix/src/features/financials/invoices,MERGE,"useApp; Invoice components; receiptService","invoices; receipts; contracts","finance","Adapt richer filters/modal to current services","MEDIUM","Current implementation exists; old UI can improve it."
finance,.migration-backup/src/components/invoices/InvoiceFilters.tsx,artifacts/rentrix/src/features/financials/components/invoice-filters.tsx,MERGE,"Invoice types","invoices","finance","Align props with current DTOs","LOW","Likely useful UI equivalent."
finance,.migration-backup/src/components/invoices/InvoiceTable.tsx,artifacts/rentrix/src/features/financials/components/invoice-list-section.tsx,MERGE,"Invoice types; callbacks","invoices","finance","Map current DTO and actions","MEDIUM","Use only if it improves current list."
finance,.migration-backup/src/components/invoices/QuickPayModal.tsx,artifacts/rentrix/src/features/financials/components/quick-payment-form.tsx,MERGE,"receiptService; modal","receipts/payments","finance","Prefer current payment service tests","MEDIUM","Current payment path is tested."
finance,.migration-backup/src/ui/financial/Arrears.tsx,artifacts/rentrix/src/features/financials/arrears,MERGE,"useApp; finance helpers","invoices; contracts; receipts","finance","Compare calculations; keep current tested components","MEDIUM","Current arrears is partial but real."
accounting,.migration-backup/src/ui/Accounting.tsx,artifacts/rentrix/src/features/accounting/accounting-page.tsx,REWRITE_ADAPTER,"useApp; ManualVoucherForm; pdfService","accounts; accountBalances; journalEntries","finance/admin","Replace placeholder with read-only tabs first","HIGH","Historical is materially better but coupled."
accounting,.migration-backup/src/ui/GeneralLedger.tsx,artifacts/rentrix/src/features/accounting/general-ledger-page.tsx,REWRITE_ADAPTER,"useApp; accountingService; ManualVoucherForm","accounts; journalEntries; receipts; expenses; invoices","finance/admin","Read-only ledger first; defer vouchers","HIGH","Useful but write-capable."
accounting,.migration-backup/src/services/accountingService.ts,artifacts/rentrix/src/features/accounting/accounting-service.ts,MERGE,"finance types","accounts; journalEntries","finance/admin","Extract pure calculation functions","MEDIUM","Pure logic likely portable."
accounting,.migration-backup/src/components/finance/ManualVoucherForm.tsx,artifacts/rentrix/src/features/accounting/manual-voucher-form.tsx,REFERENCE_ONLY,"useApp/financeService","journalEntries","finance/admin","Do not port until financial writes approved","MEDIUM","Write form should not lead."
reports,.migration-backup/src/ui/Reports.tsx,artifacts/rentrix/src/features/reports/reports-page.tsx,KEEP_NEW,"legacy report service","reports tables","authenticated/finance","None now","LOW","Current reports page is substantial."
reports,.migration-backup/src/components/reports/ReportsDashboard.tsx,artifacts/rentrix/src/features/reports/reports-page.tsx,REFERENCE_ONLY,"report components","reports","authenticated","Use as UX reference","LOW","Avoid duplicate report surface."
settings,.migration-backup/src/ui/System.tsx,artifacts/rentrix/src/features/settings/settings-page.tsx,KEEP_NEW,"legacy settings modules","settings tables","admin/settings","None now","LOW","Current settings service is normalized/tested."
settings,.migration-backup/src/components/settings/GeneralSettings.tsx,artifacts/rentrix/src/features/settings/settings-page.tsx,REFERENCE_ONLY,"settings context","settings","admin","Use copy/reference only","LOW","Current single settings page is canonical."
settings,.migration-backup/src/components/settings/SecuritySettings.tsx,artifacts/rentrix/src/features/account/change-password-page.tsx,REFERENCE_ONLY,"settings context/auth","auth/settings","admin","Reference for password/security UX","LOW","Not a direct port."
maintenance,.migration-backup/src/ui/Maintenance.tsx,artifacts/rentrix/src/features/maintenance,KEEP_NEW,"useApp/dataService","maintenance","authenticated","None now","LOW","Current maintenance exists and is tested."
